host_response_rate,host_acceptance_rate,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,number_of_reviews,rating
100,63,49.2847,-123.13973,4,1.0,1.0,159.0,30,72,90.0
100,96,49.27936,-123.12572,2,1.0,1.0,85.0,30,33,98.0
100,55,49.29025,-123.13413,1,1.0,1.0,47.0,1,82,96.0
100,100,49.2153,-123.14121,6,3.0,5.0,160.0,3,58,95.0
100,97,49.28213,-123.10826,2,1.0,1.0,150.0,90,1,100.0
100,100,49.2673,-123.15818,6,3.0,3.0,225.0,7,116,98.0
100,97,49.27508,-123.11821,3,2.0,2.0,188.0,31,20,95.0
100,100,49.25348,-123.12639,4,1.0,2.0,150.0,3,74,99.0
100,75,49.21037,-123.11773,4,1.0,2.0,89.0,30,72,94.0
87,43,49.28374,-123.10238,4,2.0,2.0,313.0,2,171,97.0
93,87,49.27538,-123.1273,4,1.0,1.0,88.0,30,4,90.0
100,100,49.21434,-123.13249,2,1.0,1.0,79.0,3,24,97.0
100,85,49.27754,-123.12414,2,1.0,1.0,120.0,30,20,99.0
100,86,49.25061,-123.11302,6,3.0,4.0,199.0,30,9,100.0
100,100,49.23797,-123.05422,4,1.0,2.0,50.0,30,152,97.0
100,94,49.25977,-123.05534,4,1.0,2.0,78.0,2,162,96.0
100,100,49.25275,-123.09144,1,1.0,1.0,35.0,2,80,91.0
100,100,49.27555,-123.03998,5,2.0,3.0,229.0,2,19,96.0
100,100,49.26493,-123.06927,4,1.0,2.0,177.0,3,226,97.0
100,92,49.27781,-123.12976,2,1.0,1.0,200.0,1,158,99.0
100,89,49.24975,-123.10195,6,2.0,3.0,102.0,4,75,97.0
81,64,49.25456,-123.03492,1,1.0,1.0,43.0,30,25,91.0
100,100,49.24775,-123.16692,2,1.0,1.0,85.0,1,250,98.0
100,67,49.2505,-123.10522,8,3.0,4.0,199.0,3,1,100.0
50,100,49.2551,-123.18658,6,2.0,3.0,220.0,1,181,96.0
100,100,49.24258,-123.13438,2,1.0,1.0,55.0,1,180,90.0
100,100,49.24281,-123.13318,2,1.0,1.0,55.0,1,135,87.0
100,0,49.27493,-123.09964,2,1.0,1.0,80.0,2,60,97.0
100,100,49.22964,-123.17569,4,2.0,2.0,139.0,1,2,90.0
100,94,49.2203,-123.03021,6,2.0,4.0,78.0,1,97,96.0
100,91,49.27995,-123.10903,4,1.0,1.0,132.0,2,369,98.0
100,70,49.28378,-123.10877,3,2.0,2.0,350.0,120,5,100.0
100,100,49.27216,-123.20664,10,5.0,7.0,251.0,5,1,100.0
100,89,49.26597,-123.11689,7,4.0,4.0,339.0,30,61,99.0
100,43,49.26616,-123.18065,1,1.0,1.0,97.0,1,74,98.0
100,98,49.28822,-123.12449,2,1.0,1.0,191.0,1,187,94.0
100,92,49.27941,-123.11725,4,1.0,2.0,150.0,1,61,94.0
100,99,49.25976,-123.06033,2,1.0,3.0,82.0,1,85,97.0
100,75,49.27669,-123.05378,2,2.0,1.0,89.0,1,13,94.0
100,100,49.27765,-123.13088,2,1.0,1.0,119.0,30,54,92.0
83,0,49.27181,-123.12486,6,3.0,3.0,299.0,60,16,99.0
100,94,49.2611,-123.11037,4,2.0,2.0,150.0,2,221,96.0
100,100,49.27971,-123.11618,2,1.0,1.0,135.0,30,9,98.0
100,89,49.25018,-123.10531,8,3.0,3.0,189.0,30,28,98.0
100,63,49.26566,-123.07181,1,1.0,0.0,45.0,2,187,94.0
100,100,49.25612,-123.1053,4,1.0,1.0,111.0,4,135,92.0
100,67,49.27023,-123.18422,2,1.0,1.0,97.0,6,40,92.0
100,96,49.28041,-123.12494,4,3.0,3.0,163.0,30,13,98.0
100,97,49.27866,-123.07252,3,2.0,2.0,115.0,29,52,96.0
100,96,49.28087,-123.12677,4,2.0,2.0,231.0,30,11,93.0
100,63,49.28437,-123.11711,4,1.0,4.0,105.0,30,158,96.0
100,100,49.27823,-123.13062,2,2.0,2.0,168.0,31,64,98.0
100,80,49.28894,-123.1336,2,1.0,1.0,200.0,2,35,97.0
100,65,49.2814,-123.12431,2,1.0,1.0,120.0,30,21,100.0
90,96,49.28953,-123.04178,2,1.0,1.0,45.0,1,61,91.0
100,75,49.21343,-123.11357,4,1.0,2.0,90.0,30,44,98.0
100,67,49.25618,-123.19529,2,1.0,1.0,200.0,2,58,96.0
100,100,49.26049,-123.07481,6,3.0,3.0,120.0,90,1,100.0
100,71,49.23372,-123.07703,6,1.0,2.0,119.0,1,85,89.0
90,38,49.28353,-123.11524,2,1.0,1.0,90.0,30,4,93.0
100,100,49.25644,-123.1107,5,2.0,3.0,89.0,1,385,96.0
100,100,49.26694,-123.06672,4,2.0,2.0,175.0,5,153,97.0
20,0,49.27526,-123.12896,2,1.0,1.0,69.0,30,7,100.0
100,100,49.28043,-123.10105,2,1.0,1.0,165.0,3,98,98.0
100,100,49.27904,-123.09246,2,1.0,1.0,142.0,7,199,99.0
100,99,49.26196,-123.05811,2,1.0,1.0,55.0,1,194,95.0
94,3,49.25031,-123.07507,2,1.0,1.0,69.0,2,83,96.0
100,71,49.2796,-123.1164,3,1.0,2.0,99.0,30,21,97.0
90,81,49.27729,-123.08774,2,1.0,1.0,125.0,30,76,99.0
100,0,49.24175,-123.02801,1,1.0,1.0,40.0,30,50,98.0
100,97,49.25442,-123.12548,2,1.0,1.0,85.0,5,74,96.0
100,100,49.25423,-123.08951,4,2.0,2.0,143.0,10,193,97.0
90,97,49.2697,-123.10152,2,1.0,1.0,115.0,30,63,98.0
100,100,49.25698,-123.08035,4,1.0,1.0,99.0,2,176,97.0
100,68,49.26716,-123.09803,2,1.0,1.0,206.0,3,58,96.0
100,0,49.24152,-123.02953,1,1.0,1.0,40.0,30,38,95.0
100,0,49.24294,-123.03025,1,1.0,1.0,40.0,30,40,97.0
18,71,49.26405,-123.17845,2,1.0,1.0,75.0,1,86,96.0
100,85,49.27497,-123.11716,2,1.0,1.0,130.0,30,22,97.0
100,83,49.2172,-123.13793,2,1.0,1.0,45.0,1,32,94.0
100,84,49.28091,-123.12069,2,1.0,1.0,100.0,30,3,93.0
100,100,49.26083,-123.16808,4,1.0,2.0,118.0,30,33,92.0
100,100,49.27892,-123.1081,6,2.0,6.0,150.0,30,34,99.0
100,70,49.21255,-123.0574,2,1.0,1.0,79.0,1,41,98.0
100,70,49.21121,-123.05598,1,1.0,1.0,65.0,1,68,98.0
80,33,49.2614,-123.15827,2,1.0,1.0,290.0,1,12,100.0
100,99,49.2593,-123.05971,2,1.0,1.0,52.0,1,247,96.0
74,89,49.2585,-123.09265,2,1.0,1.0,62.0,2,135,85.0
91,96,49.22325,-123.12948,4,2.0,2.0,165.0,3,127,98.0
100,100,49.25164,-123.06171,2,1.0,2.0,100.0,2,180,95.0
100,0,49.26605,-123.15106,3,1.0,2.0,100.0,30,45,92.0
100,71,49.27775,-123.12325,2,1.0,1.0,170.0,3,61,99.0
100,96,49.26774,-123.17773,2,1.0,1.0,88.0,5,92,98.0
100,100,49.26643,-123.05809,4,1.0,1.0,200.0,3,75,98.0
100,86,49.25113,-123.11466,4,2.0,2.0,133.0,30,7,97.0
100,83,49.25377,-123.04513,3,1.0,1.0,119.0,2,39,94.0
90,81,49.27926,-123.08715,2,1.0,1.0,125.0,30,97,99.0
93,36,49.27775,-123.11741,2,1.0,1.0,69.0,90,2,100.0
100,100,49.26174,-123.04726,2,1.0,1.0,75.0,2,87,98.0
100,100,49.27947,-123.11835,2,1.0,1.0,108.0,30,22,96.0
100,97,49.28009,-123.12695,2,1.0,1.0,107.0,1,95,89.0
100,100,49.25175,-123.11925,4,1.0,2.0,270.0,30,15,100.0
100,85,49.27629,-123.12508,2,1.0,5.0,130.0,30,13,100.0
89,91,49.2543,-123.19622,5,2.0,2.0,146.0,14,51,96.0
100,100,49.26321,-123.16329,1,1.0,1.0,55.0,30,39,91.0
100,93,49.25117,-123.05318,4,2.0,2.0,125.0,1,104,98.0
100,86,49.28023,-123.1186,7,2.0,3.0,290.0,30,19,100.0
100,100,49.26346,-123.16109,1,1.0,1.0,55.0,30,32,84.0
100,91,49.2587,-123.08003,6,3.0,3.0,225.0,2,178,97.0
100,90,49.2849,-123.11725,2,1.0,1.0,141.0,1,46,95.0
100,100,49.25999,-123.10134,2,1.0,1.0,125.0,3,147,98.0
100,75,49.26858,-123.16151,4,2.0,2.0,325.0,3,78,100.0
100,100,49.28161,-123.10181,2,1.0,1.0,85.0,1,13,95.0
93,36,49.2902,-123.14282,3,1.0,2.0,85.0,32,1,100.0
100,100,49.28876,-123.12354,2,1.0,1.0,173.0,3,160,99.0
100,87,49.2745,-123.1491,4,2.0,3.0,250.0,2,30,93.0
100,63,49.25072,-123.11681,10,4.0,6.0,400.0,5,45,97.0
100,96,49.2878,-123.12423,6,3.0,3.0,225.0,30,9,98.0
100,100,49.26793,-123.16231,4,2.0,2.0,325.0,5,37,100.0
100,97,49.26716,-123.0918,3,1.0,1.0,105.0,2,130,89.0
100,75,49.28292,-123.12441,2,1.0,1.0,250.0,30,100,97.0
100,93,49.28638,-123.02704,4,1.0,1.0,95.0,3,109,97.0
93,87,49.28561,-123.13237,4,1.0,1.0,77.0,30,1,100.0
100,100,49.26594,-123.10085,2,1.0,1.0,88.0,3,128,98.0
50,82,49.28187,-123.12677,4,1.0,1.0,94.0,1,50,82.0
100,89,49.28077,-123.0979,2,1.0,1.0,196.0,30,75,96.0
100,67,49.27476,-123.12499,2,1.0,1.0,300.0,30,37,97.0
100,100,49.26011,-123.16452,2,1.0,1.0,86.0,30,90,92.0
100,74,49.25824,-123.10429,3,1.0,1.0,85.0,4,82,97.0
100,100,49.27905,-123.11948,2,1.0,1.0,75.0,90,5,100.0
100,100,49.27071,-123.06432,4,2.0,3.0,125.0,1,265,99.0
100,97,49.27857,-123.12299,4,1.0,1.0,115.0,3,329,96.0
100,84,49.27963,-123.11771,2,1.0,1.0,151.0,32,3,100.0
67,67,49.27821,-123.13297,2,1.0,1.0,85.0,7,158,97.0
100,85,49.25662,-123.12287,2,1.0,1.0,95.0,1,121,96.0
92,99,49.24467,-123.09792,4,1.0,2.0,86.0,1,223,96.0
100,84,49.28419,-123.11581,2,1.0,1.0,139.0,30,1,100.0
89,100,49.24415,-123.0496,2,1.0,1.0,65.0,30,6,87.0
100,98,49.25789,-123.09123,4,2.0,2.0,95.0,3,182,99.0
100,0,49.26041,-123.16441,7,4.0,5.0,499.0,5,7,96.0
100,100,49.2826,-123.10708,4,2.0,2.0,250.0,90,4,100.0
100,95,49.23073,-123.0577,3,1.0,1.0,89.0,2,97,96.0
100,43,49.25905,-123.19141,2,1.0,1.0,95.0,30,19,98.0
50,0,49.28895,-123.12792,2,1.0,1.0,150.0,30,1,100.0
100,90,49.24889,-123.06887,3,1.0,1.0,120.0,4,39,96.0
100,100,49.25358,-123.08041,2,1.0,1.0,85.0,2,250,99.0
100,100,49.27716,-123.12927,6,2.0,2.0,116.0,30,18,97.0
100,67,49.25649,-123.19513,8,4.0,4.0,400.0,4,4,100.0
100,98,49.25291,-123.08392,4,1.0,2.0,88.0,1,50,97.0
100,100,49.25855,-123.07922,6,2.0,3.0,80.0,30,72,98.0
100,95,49.27868,-123.10706,4,1.0,1.0,127.0,1,365,94.0
67,17,49.23944,-123.07737,6,3.0,4.0,495.0,4,15,100.0
100,98,49.28087,-123.12549,2,1.0,1.0,99.0,1,254,94.0
100,92,49.23653,-123.07922,7,3.0,3.0,274.0,7,74,98.0
87,67,49.26983,-123.15063,1,1.0,1.0,49.0,2,184,97.0
50,88,49.28052,-123.1247,2,2.0,2.0,150.0,30,53,97.0
100,71,49.26304,-123.17496,6,3.0,4.0,300.0,3,8,100.0
100,67,49.27937,-123.10681,2,1.0,1.0,100.0,2,155,94.0
100,67,49.27796,-123.10868,4,2.0,2.0,150.0,2,29,92.0
92,75,49.23953,-123.08824,1,1.0,1.0,40.0,30,6,96.0
100,98,49.28807,-123.12398,14,3.0,3.0,133.0,1,323,96.0
100,100,49.28566,-123.05355,4,2.0,3.0,125.0,3,49,96.0
100,100,49.2669,-123.18265,4,2.0,2.0,175.0,30,56,95.0
95,100,49.2603,-123.11134,3,1.0,2.0,120.0,30,50,89.0
100,90,49.27045,-123.14534,6,2.0,2.0,250.0,2,185,99.0
95,100,49.25916,-123.10921,4,2.0,3.0,299.0,30,53,88.0
100,100,49.25504,-123.08632,4,2.0,3.0,139.0,3,22,96.0
100,100,49.224,-123.076,3,2.0,2.0,100.0,2,28,96.0
100,100,49.26678,-123.18156,6,3.0,3.0,395.0,30,43,96.0
100,89,49.28716,-123.12709,4,2.0,2.0,289.0,30,52,100.0
60,0,49.26534,-123.11195,8,4.0,4.0,279.0,2,33,94.0
100,93,49.29021,-123.05265,3,1.0,2.0,100.0,2,116,99.0
100,86,49.23522,-123.07804,6,2.0,3.0,112.0,30,26,100.0
100,100,49.23711,-123.07616,5,2.0,2.0,90.0,30,27,96.0
100,100,49.27295,-123.07359,4,2.0,2.0,149.0,4,33,97.0
100,33,49.28019,-123.09783,2,1.0,1.0,38.0,30,69,98.0
100,83,49.26683,-123.17744,10,2.0,4.0,238.0,1,159,98.0
100,100,49.27486,-123.11602,3,1.0,1.0,142.0,30,25,97.0
100,98,49.28621,-123.12506,2,1.0,1.0,142.0,1,175,95.0
100,50,49.28249,-123.1243,4,2.0,3.0,70.0,30,34,99.0
80,14,49.28455,-123.10707,2,1.0,1.0,149.0,1,47,100.0
100,91,49.25877,-123.0653,4,3.0,3.0,80.0,4,66,84.0
100,87,49.23134,-123.14207,2,1.0,1.0,118.0,30,39,95.0
100,89,49.2688,-123.05555,2,1.0,2.0,99.0,3,100,98.0
90,46,49.2662,-123.17177,2,1.0,1.0,150.0,3,5,60.0
100,50,49.2635,-123.08629,6,2.0,3.0,338.0,30,92,98.0
71,47,49.27078,-123.06946,6,3.0,4.0,245.0,2,2,100.0
92,75,49.2394,-123.08998,1,1.0,1.0,44.0,30,5,88.0
100,100,49.24582,-123.11826,6,1.0,2.0,193.0,2,73,94.0
100,84,49.28036,-123.1184,2,1.0,1.0,151.0,32,1,100.0
100,67,49.26153,-123.13439,2,1.0,1.0,35.0,30,30,97.0
100,100,49.24992,-123.08071,6,3.0,3.0,194.0,1,172,98.0
100,25,49.26504,-123.18525,4,3.0,3.0,357.0,4,14,100.0
75,88,49.28035,-123.12505,1,1.0,1.0,68.0,33,3,100.0
100,81,49.26419,-123.07647,7,3.0,3.0,406.0,2,50,96.0
100,96,49.2663,-123.04275,2,1.0,1.0,80.0,4,92,99.0
80,100,49.21417,-123.08368,4,2.0,2.0,94.0,2,346,96.0
100,100,49.25354,-123.09635,4,2.0,3.0,75.0,30,59,98.0
93,87,49.27595,-123.12579,4,1.0,1.0,90.0,30,7,83.0
100,96,49.27713,-123.11994,4,1.0,2.0,100.0,30,14,94.0
100,69,49.25975,-123.15494,4,2.0,2.0,125.0,4,8,100.0
100,74,49.28117,-123.05231,4,2.0,2.0,82.0,3,139,94.0
100,89,49.2701,-123.1797,4,2.0,2.0,100.0,2,64,98.0
100,92,49.26252,-123.18165,3,1.0,2.0,103.0,1,249,98.0
100,85,49.27665,-123.1208,2,1.0,1.0,130.0,30,8,100.0
90,88,49.24952,-123.07457,2,1.0,2.0,89.0,2,97,94.0
100,83,49.26583,-123.18669,4,2.0,3.0,128.0,1,227,96.0
100,100,49.28161,-123.11777,6,2.0,4.0,250.0,30,5,100.0
100,100,49.26986,-123.14874,4,2.0,2.0,199.0,30,35,97.0
95,100,49.25873,-123.10987,3,1.0,2.0,131.0,30,45,91.0
100,94,49.2793,-123.10922,6,3.0,3.0,172.0,2,274,99.0
100,100,49.24309,-123.07419,4,2.0,2.0,90.0,2,80,98.0
100,0,49.28031,-123.10696,5,1.0,3.0,69.0,1,155,90.0
100,100,49.28556,-123.13326,2,1.0,1.0,89.0,30,5,100.0
100,95,49.23802,-123.16885,4,2.0,3.0,111.0,2,158,99.0
100,100,49.23453,-123.16569,4,1.0,1.0,125.0,3,67,98.0
100,100,49.25546,-123.12465,6,2.0,3.0,350.0,3,30,98.0
100,99,49.23911,-123.1482,3,1.0,2.0,100.0,30,30,98.0
100,0,49.23359,-123.09929,2,1.0,1.0,110.0,5,74,98.0
100,91,49.26847,-123.10601,2,1.0,2.0,99.0,30,26,99.0
100,100,49.25881,-123.14922,2,1.0,1.0,130.0,30,35,94.0
80,92,49.27907,-123.10671,2,1.0,1.0,80.0,16,23,96.0
100,100,49.25767,-123.1491,4,2.0,2.0,256.0,30,43,94.0
100,100,49.27936,-123.12097,3,1.0,1.0,100.0,30,71,96.0
100,92,49.24074,-123.08718,2,1.0,1.0,59.0,2,110,95.0
100,100,49.25712,-123.14907,4,2.0,2.0,150.0,30,41,94.0
100,100,49.27767,-123.12908,2,1.0,1.0,80.0,30,90,96.0
100,100,49.25836,-123.12625,3,1.0,2.0,108.0,30,42,100.0
100,100,49.28823,-123.14223,2,1.0,1.0,300.0,3,52,100.0
100,31,49.26643,-123.04988,4,2.0,2.0,100.0,30,28,96.0
100,100,49.28046,-123.12091,4,2.0,2.0,224.0,30,78,100.0
100,86,49.27738,-123.07444,7,3.0,6.0,216.0,30,3,100.0
100,100,49.26577,-123.06892,6,2.0,3.0,193.0,1,236,100.0
100,60,49.23924,-123.08398,2,1.0,1.0,61.0,30,27,97.0
100,96,49.25343,-123.10752,4,2.0,3.0,124.0,1,150,99.0
100,100,49.25703,-123.15105,6,3.0,3.0,395.0,30,45,97.0
100,100,49.25237,-123.09729,4,1.0,2.0,118.0,2,173,98.0
100,100,49.2592,-123.1497,4,2.0,2.0,250.0,30,51,90.0
60,71,49.2555,-123.09562,3,2.0,2.0,100.0,31,22,95.0
100,100,49.27737,-123.13023,1,1.0,1.0,85.0,7,3,100.0
100,100,49.26082,-123.16845,2,1.0,1.0,91.0,2,165,92.0
100,100,49.28627,-123.04713,3,1.0,1.0,75.0,7,111,98.0
100,70,49.27968,-123.10883,5,2.0,3.0,230.0,3,126,99.0
91,100,49.27105,-123.18454,1,1.0,1.0,51.0,30,47,97.0
100,90,49.24797,-123.06857,5,2.0,2.0,120.0,5,31,86.0
100,100,49.21794,-123.14169,5,2.0,2.0,100.0,4,156,95.0
100,100,49.26456,-123.12753,2,1.0,1.0,171.0,5,66,98.0
75,100,49.27275,-123.15295,2,1.0,2.0,225.0,1,12,95.0
92,75,49.23946,-123.08818,1,2.0,1.0,50.0,30,7,86.0
100,98,49.28731,-123.12592,2,1.0,1.0,160.0,30,29,98.0
100,100,49.27828,-123.11859,4,2.0,2.0,175.0,30,157,96.0
100,100,49.27704,-123.12217,2,1.0,1.0,95.0,30,15,97.0
88,85,49.27804,-123.06098,4,2.0,2.0,49.0,30,14,100.0
100,100,49.24055,-123.09041,6,3.0,3.0,185.0,3,69,91.0
100,98,49.27928,-123.10821,2,1.0,1.0,180.0,2,178,93.0
71,93,49.27735,-123.12718,3,1.0,2.0,72.0,30,6,97.0
100,31,49.26656,-123.04979,3,1.0,1.0,63.0,30,36,97.0
100,88,49.27055,-123.18922,2,1.0,1.0,150.0,3,62,99.0
93,36,49.28742,-123.12805,3,1.0,2.0,90.0,30,1,100.0
100,100,49.2236,-123.1589,10,4.0,5.0,348.0,2,91,96.0
100,94,49.28118,-123.12537,4,1.0,2.0,229.0,30,186,99.0
100,95,49.26,-123.18298,2,1.0,2.0,79.0,1,119,97.0
100,100,49.27285,-123.12343,6,3.0,3.0,231.0,30,57,99.0
93,36,49.2905,-123.12653,2,1.0,1.0,80.0,30,2,90.0
100,89,49.23298,-123.09754,1,1.0,1.0,24.0,60,10,98.0
100,98,49.27029,-123.04597,6,2.0,3.0,92.0,2,124,97.0
100,100,49.2606,-123.06207,2,1.0,2.0,105.0,31,37,99.0
100,100,49.24831,-123.18431,4,2.0,2.0,75.0,30,5,92.0
100,100,49.28783,-123.04268,5,3.0,3.0,99.0,2,215,98.0
100,100,49.22333,-123.15761,5,2.0,2.0,265.0,2,55,97.0
95,100,49.25841,-123.11305,4,2.0,2.0,120.0,30,32,90.0
100,100,49.25895,-123.16627,3,3.0,5.0,128.0,4,117,99.0
80,14,49.28258,-123.10833,2,1.0,1.0,179.0,1,9,93.0
80,53,49.24242,-123.16926,1,1.0,1.0,30.0,30,2,100.0
100,67,49.26965,-123.15376,2,1.0,1.0,34.0,1,97,91.0
100,100,49.28215,-123.12503,2,1.0,2.0,85.0,30,18,99.0
100,100,49.22844,-123.09713,2,1.0,1.0,75.0,3,59,96.0
100,100,49.2285,-123.09674,2,1.0,1.0,65.0,3,49,95.0
100,89,49.26066,-123.11585,4,2.0,2.0,250.0,30,23,99.0
100,100,49.26144,-123.1851,2,1.0,1.0,78.0,3,19,87.0
100,100,49.25912,-123.08006,4,2.0,2.0,120.0,1,79,99.0
100,100,49.27449,-123.03915,2,1.0,1.0,75.0,5,61,98.0
71,93,49.29019,-123.12516,3,1.0,2.0,84.0,30,21,90.0
100,67,49.28548,-123.13309,4,2.0,3.0,249.0,4,19,92.0
71,93,49.2884,-123.12605,3,1.0,2.0,78.0,30,22,85.0
100,84,49.27968,-123.11787,2,1.0,1.0,151.0,32,4,95.0
100,86,49.23139,-123.15835,4,1.0,2.0,85.0,1,116,99.0
100,91,49.25952,-123.07153,4,2.0,2.0,115.0,3,31,93.0
100,89,49.26488,-123.12248,5,3.0,3.0,246.0,30,34,97.0
90,100,49.28378,-123.11988,4,2.0,2.0,198.0,30,23,94.0
90,93,49.28389,-123.10265,3,1.0,1.0,219.0,5,118,95.0
80,63,49.28,-123.12305,3,1.0,1.0,400.0,2,10,100.0
100,100,49.28483,-123.04634,1,1.0,0.0,38.0,5,5,100.0
71,93,49.29373,-123.13452,4,1.0,2.0,76.0,30,2,70.0
100,100,49.2681,-123.06925,2,1.0,1.0,89.0,3,6,87.0
100,100,49.24811,-123.0798,4,2.0,2.0,98.0,2,24,99.0
100,100,49.24404,-123.10111,2,1.0,1.0,105.0,7,111,99.0
100,89,49.23527,-123.09903,1,1.0,1.0,31.0,60,5,100.0
100,100,49.26702,-123.16867,4,2.0,2.0,200.0,2,94,91.0
90,83,49.28275,-123.04518,4,1.0,2.0,55.0,1,195,91.0
100,100,49.25407,-123.09567,4,2.0,2.0,143.0,1,137,96.0
100,100,49.26316,-123.04757,4,1.0,2.0,100.0,1,47,99.0
100,100,49.22652,-123.09526,2,1.0,1.0,75.0,3,57,95.0
100,95,49.27882,-123.11099,5,2.0,3.0,335.0,6,113,97.0
100,88,49.27714,-123.09857,5,2.0,3.0,122.0,30,35,91.0
100,88,49.26312,-123.048,1,1.0,1.0,46.0,1,171,98.0
67,100,49.24156,-123.04932,2,1.0,1.0,60.0,2,93,96.0
67,100,49.24196,-123.04993,2,1.0,1.0,55.0,2,84,97.0
92,75,49.24141,-123.09008,1,1.0,1.0,24.0,30,3,93.0
100,96,49.2833,-123.12769,2,1.0,1.0,65.0,2,200,87.0
100,0,49.2802,-123.06112,4,1.0,0.0,200.0,2,21,97.0
100,100,49.25915,-123.14504,2,1.0,1.0,283.0,1,2,100.0
100,100,49.27032,-123.147,4,2.0,2.0,206.0,30,4,95.0
100,86,49.28261,-123.1029,4,1.0,1.0,300.0,7,48,98.0
100,100,49.26697,-123.04348,4,2.0,3.0,107.0,3,247,98.0
96,100,49.24871,-123.05501,2,1.0,1.0,46.0,1,354,95.0
100,91,49.22267,-123.03604,2,1.0,1.0,65.0,3,5,92.0
50,82,49.28003,-123.12294,4,1.0,1.0,135.0,1,19,81.0
100,0,49.26267,-123.08365,1,1.0,0.0,99.0,70,5,85.0
100,100,49.27957,-123.13028,3,1.0,2.0,70.0,30,47,96.0
84,55,49.24551,-123.08933,4,2.0,2.0,69.0,2,113,95.0
100,95,49.27929,-123.10709,2,1.0,1.0,66.0,1,275,98.0
100,100,49.24188,-123.05401,2,1.0,1.0,71.0,2,159,95.0
100,100,49.26985,-123.06766,2,1.0,1.0,75.0,1,76,98.0
100,100,49.26038,-123.07115,2,1.0,1.0,80.0,4,43,98.0
100,100,49.25959,-123.18791,2,1.0,1.0,99.0,3,29,96.0
100,95,49.26777,-123.03869,4,1.0,2.0,89.0,1,119,96.0
100,83,49.23973,-123.16704,4,2.0,3.0,169.0,2,80,91.0
100,88,49.26073,-123.1072,4,2.0,3.0,150.0,31,9,100.0
100,100,49.28111,-123.05747,2,1.0,1.0,70.0,30,85,100.0
100,100,49.27897,-123.12625,2,1.0,1.0,80.0,31,9,100.0
100,89,49.26339,-123.12186,5,3.0,3.0,304.0,30,26,98.0
100,97,49.2792,-123.09849,4,2.0,2.0,225.0,2,16,94.0
100,100,49.28002,-123.11053,4,2.0,2.0,109.0,30,4,93.0
100,100,49.24788,-123.08138,2,1.0,1.0,100.0,1,87,94.0
83,60,49.28264,-123.11427,2,1.0,1.0,92.0,1,48,90.0
0,14,49.27215,-123.17969,2,1.0,2.0,60.0,1,167,97.0
100,100,49.27609,-123.12527,2,1.0,1.0,135.0,30,8,100.0
91,94,49.27524,-123.13415,4,2.0,2.0,196.0,30,43,92.0
100,89,49.28149,-123.09971,3,2.0,2.0,106.0,30,34,97.0
100,96,49.2833,-123.12769,2,1.0,1.0,148.0,2,101,92.0
100,91,49.28186,-123.10567,2,1.0,1.0,100.0,30,169,95.0
100,100,49.26489,-123.15048,2,1.0,1.0,165.0,2,160,98.0
100,100,49.28744,-123.12688,4,2.0,3.0,275.0,30,51,96.0
100,94,49.23138,-123.10445,2,1.0,1.0,99.0,2,147,100.0
100,67,49.25331,-123.11395,4,2.0,2.0,120.0,30,54,100.0
67,100,49.23965,-123.04831,2,1.0,1.0,50.0,2,47,98.0
100,100,49.2326,-123.08251,3,2.0,3.0,89.0,30,9,100.0
100,96,49.27906,-123.1088,6,2.0,3.0,255.0,30,119,98.0
93,87,49.27969,-123.12319,4,1.0,1.0,84.0,30,1,80.0
50,50,49.26993,-123.16528,5,2.0,3.0,217.0,7,96,97.0
91,94,49.27297,-123.12575,6,3.0,3.0,275.0,30,2,100.0
100,85,49.27836,-123.12485,4,1.0,3.0,151.0,2,51,100.0
100,88,49.27817,-123.10875,4,2.0,2.0,178.0,2,148,99.0
90,81,49.27754,-123.11257,2,2.0,1.0,150.0,30,1,100.0
100,100,49.28407,-123.12277,3,1.0,2.0,224.0,1,229,97.0
100,96,49.24513,-123.10495,4,2.0,5.0,171.0,3,107,99.0
100,98,49.28254,-123.06454,4,1.0,1.0,70.0,2,209,94.0
100,85,49.28212,-123.12293,3,2.0,2.0,140.0,30,17,100.0
100,100,49.22584,-123.13769,2,1.0,2.0,139.0,2,64,94.0
100,100,49.28412,-123.12396,3,2.0,2.0,119.0,2,116,90.0
100,91,49.28157,-123.02788,2,1.0,1.0,45.0,3,64,96.0
100,100,49.25446,-123.08276,4,1.0,2.0,51.0,2,161,91.0
100,50,49.28009,-123.1078,5,3.0,3.0,380.0,7,53,97.0
100,100,49.28124,-123.1093,6,2.0,2.0,109.0,2,224,97.0
100,100,49.27711,-123.09218,4,2.0,3.0,75.0,14,238,95.0
100,100,49.27895,-123.12206,2,1.0,1.0,148.0,5,112,95.0
100,100,49.25228,-123.08584,2,1.0,1.0,99.0,2,69,99.0
83,97,49.26978,-123.09867,4,1.0,1.0,69.0,30,17,100.0
100,83,49.27991,-123.10717,5,2.0,3.0,264.0,2,36,99.0
100,95,49.2599,-123.18294,2,1.0,1.0,99.0,1,151,99.0
100,100,49.26434,-123.13303,2,1.0,1.0,199.0,2,129,95.0
100,100,49.27305,-123.06801,4,2.0,2.0,120.0,3,139,95.0
100,100,49.26933,-123.18303,4,2.0,2.0,220.0,3,28,96.0
100,97,49.23638,-123.10714,5,2.0,3.0,135.0,1,207,96.0
100,98,49.27411,-123.04884,4,1.0,2.0,63.0,3,221,96.0
